trading_day,index_name,symbol,open_0931,close_0935,close_0950,close_1005,close_1035,close_1500
2023-07-03,CSI1000,000852.SH,6617.0799999999999,6634.7399999999998,6603.9899999999998,6573.1599999999999,6594.0699999999997,6612.8800000000001
2023-07-03,CSI300,000300.SH,3853.29,3868.1399999999999,3876.3099999999999,3866.8699999999999,3868.0900000000001,3892.8800000000001
2023-07-04,CSI1000,000852.SH,6610.6599999999999,6610.79,6613.3999999999996,6608.0600000000004,6624.6999999999998,6638.4499999999998
2023-07-04,CSI300,000300.SH,3888.0300000000002,3880.1399999999999,3890.9299999999998,3883.6999999999998,3893.23,3899.0100000000002
2023-07-05,CSI1000,000852.SH,6632.3699999999999,6621.5299999999997,6628.7200000000003,6630.75,6631.0600000000004,6584.4200000000001
2023-07-05,CSI300,000300.SH,3895.1900000000001,3895.77,3884.5799999999999,3876.7600000000002,3880.1500000000001,3868.8099999999999
2023-07-06,CSI1000,000852.SH,6573.5799999999999,6573.2600000000002,6596.46,6609.1000000000004,6608.5799999999999,6567.0799999999999
2023-07-06,CSI300,000300.SH,3857.0300000000002,3862.77,3873.8200000000002,3873.6900000000001,3870.6999999999998,3842.75
2023-07-07,CSI1000,000852.SH,6553.5600000000004,6541.71,6494.9799999999996,6511.79,6517.9799999999996,6521.4300000000003
2023-07-07,CSI300,000300.SH,3831.5999999999999,3832.4099999999999,3822.1300000000001,3829.6799999999998,3823.8200000000002,3825.6999999999998
2023-07-10,CSI1000,000852.SH,6539.0799999999999,6528.6700000000001,6536.0200000000004,6546.3699999999999,6534.1199999999999,6526.8500000000004
2023-07-10,CSI300,000300.SH,3841.5599999999999,3846.0700000000002,3849.4099999999999,3861.1199999999999,3854.2199999999998,3844.3299999999999
2023-07-11,CSI1000,000852.SH,6531.6300000000001,6529.7399999999998,6526.0600000000004,6526.7299999999996,6535.7600000000002,6579.3699999999999
2023-07-11,CSI300,000300.SH,3853.8000000000002,3854.5300000000002,3848.9200000000001,3846.6500000000001,3849.98,3869.4899999999998
2023-07-12,CSI1000,000852.SH,6576.9399999999996,6553.8299999999999,6576.0699999999997,6546.8400000000001,6550.21,6482.9899999999998
2023-07-12,CSI300,000300.SH,3864.5999999999999,3857.9099999999999,3869.5500000000002,3864.6799999999998,3870.5700000000002,3843.4400000000001
2023-07-13,CSI1000,000852.SH,6497.8100000000004,6525.1700000000001,6517.8999999999996,6515.3100000000004,6513.4099999999999,6548.3100000000004
2023-07-13,CSI300,000300.SH,3855.6599999999999,3867.3499999999999,3875.2600000000002,3877.9099999999999,3882.2199999999998,3898.4200000000001
2023-07-14,CSI1000,000852.SH,6554.5299999999997,6546.1499999999996,6557.1800000000003,6560.6599999999999,6558.04,6544.46
2023-07-14,CSI300,000300.SH,3904.5999999999999,3903.0700000000002,3899.6999999999998,3899.6599999999999,3903.2600000000002,3899.0999999999999
2023-07-17,CSI1000,000852.SH,6524.6099999999997,6494.5,6517.1899999999996,6513.6599999999999,6508.6300000000001,6516.5600000000004
2023-07-17,CSI300,000300.SH,3881.6199999999999,3865.7399999999998,3864.8099999999999,3865.5900000000001,3861.73,3867.1700000000001
2023-07-18,CSI1000,000852.SH,6519.7600000000002,6499.6999999999998,6504.3699999999999,6497.2299999999996,6496.3000000000002,6510.0299999999997
2023-07-18,CSI300,000300.SH,3871.04,3863.5599999999999,3854.5,3852.6199999999999,3847.1900000000001,3854.9400000000001
2023-07-19,CSI1000,000852.SH,6508.5200000000004,6526.6300000000001,6516.1400000000003,6508.5100000000002,6498.9300000000003,6492.3500000000004
2023-07-19,CSI300,000300.SH,3848.48,3857.4000000000001,3850.3800000000001,3849.1599999999999,3840.5900000000001,3850.8699999999999
2023-07-20,CSI1000,000852.SH,6497.7799999999997,6491.0500000000002,6483.3500000000004,6485.4700000000003,6498.5600000000004,6408.7600000000002
2023-07-20,CSI300,000300.SH,3857.77,3864.8899999999999,3861.77,3861.9200000000001,3858.1799999999998,3823.6900000000001
2023-07-21,CSI1000,000852.SH,6397.1499999999996,6402.1300000000001,6416.0100000000002,6439.3500000000004,6444.5799999999999,6401.4200000000001
2023-07-21,CSI300,000300.SH,3816.98,3819.3299999999999,3819.0999999999999,3832.71,3844.6799999999998,3821.9099999999999
2023-07-24,CSI1000,000852.SH,6397.4300000000003,6395.8400000000001,6395.4899999999998,6424.9300000000003,6426.75,6393.79
2023-07-24,CSI300,000300.SH,3803.3499999999999,3803.77,3808.6199999999999,3821.3499999999999,3821.6100000000001,3805.2199999999998
2023-07-25,CSI1000,000852.SH,6448.2700000000004,6468.9099999999999,6456.6899999999996,6458.8000000000002,6467.9899999999998,6498.2700000000004
2023-07-25,CSI300,000300.SH,3866.6399999999999,3875.0999999999999,3879.4000000000001,3886.0900000000001,3891.0300000000002,3915.1199999999999
2023-07-26,CSI1000,000852.SH,6497.5900000000001,6480.6000000000004,6473.0600000000004,6479.4799999999996,6469.8500000000004,6457.25
2023-07-26,CSI300,000300.SH,3908.1700000000001,3909.3699999999999,3910.54,3911.1599999999999,3905.25,3907.0100000000002
2023-07-27,CSI1000,000852.SH,6458.4799999999996,6468.46,6472.6499999999996,6464.5900000000001,6456.3699999999999,6407.5500000000002
2023-07-27,CSI300,000300.SH,3914.23,3918.0300000000002,3913.0799999999999,3923.04,3928.98,3902.3499999999999
2023-07-28,CSI1000,000852.SH,6389.4300000000003,6386.2399999999998,6383.5600000000004,6377.2799999999997,6388.9799999999996,6465.3800000000001
2023-07-28,CSI300,000300.SH,3889.79,3890.9400000000001,3901.1700000000001,3895.9499999999998,3904.1100000000001,3992.7399999999998
2023-07-31,CSI1000,000852.SH,6475.8299999999999,6504.8599999999997,6504.6599999999999,6527.9099999999999,6531.2200000000003,6515.8500000000004
2023-07-31,CSI300,000300.SH,4018.8899999999999,4043.27,4047.1900000000001,4053.6900000000001,4030.1100000000001,4014.6300000000001
2023-08-01,CSI1000,000852.SH,6513.1400000000003,6493.25,6504.0600000000004,6504.3500000000004,6518.3999999999996,6507.4099999999999
2023-08-01,CSI300,000300.SH,4009.1799999999998,4011.8699999999999,4025.1100000000001,4030.6300000000001,4017.25,3998
2023-08-02,CSI1000,000852.SH,6499.8599999999997,6500.1300000000001,6510.1700000000001,6504.2600000000002,6498.8699999999999,6496.0200000000004
2023-08-02,CSI300,000300.SH,3985.6999999999998,3990.4099999999999,3999.2800000000002,4001.2399999999998,3984.1999999999998,3969.9000000000001
2023-08-03,CSI1000,000852.SH,6472.1099999999997,6477.1199999999999,6500.4899999999998,6491.0900000000001,6474.6599999999999,6499.54
2023-08-03,CSI300,000300.SH,3962.1300000000001,3967.0799999999999,3982.6799999999998,3970.5999999999999,3968.7600000000002,4004.98
2023-08-04,CSI1000,000852.SH,6514.54,6539.6899999999996,6537.1999999999998,6521.9300000000003,6523,6535.3199999999997
2023-08-04,CSI300,000300.SH,4033.7199999999998,4043.8400000000001,4046.48,4027.4400000000001,4026.7600000000002,4020.5799999999999
2023-08-07,CSI1000,000852.SH,6524.3000000000002,6528.8699999999999,6501.6700000000001,6507.46,6506.54,6503.9799999999996
2023-08-07,CSI300,000300.SH,4002.9699999999998,3991.6399999999999,3988.23,3995.3800000000001,3991.6500000000001,3990.1500000000001
2023-08-08,CSI1000,000852.SH,6496.5900000000001,6496.3800000000001,6481.96,6467.0299999999997,6461.2600000000002,6471.3400000000001
2023-08-08,CSI300,000300.SH,3980.04,3973.0599999999999,3974.7600000000002,3970.5100000000002,3972.8800000000001,3979.73
2023-08-09,CSI1000,000852.SH,6452.9799999999996,6455,6459.7700000000004,6450.0299999999997,6443.7600000000002,6420.9799999999996
2023-08-09,CSI300,000300.SH,3967.3600000000001,3975.77,3978.9299999999998,3973.9099999999999,3977.1500000000001,3967.5700000000002
2023-08-10,CSI1000,000852.SH,6409.2200000000003,6429.5299999999997,6425.9499999999998,6427.8999999999996,6427.54,6426.8100000000004
2023-08-10,CSI300,000300.SH,3962.8600000000001,3975.6199999999999,3967.5700000000002,3963.3499999999999,3970.79,3975.7199999999998
2023-08-11,CSI1000,000852.SH,6428.8800000000001,6413.1199999999999,6409.7399999999998,6399.2399999999998,6388.0200000000004,6304.6400000000003
2023-08-11,CSI300,000300.SH,3977.98,3963.4499999999998,3961.8000000000002,3950.79,3934.8299999999999,3884.25
2023-08-14,CSI1000,000852.SH,6251.9700000000003,6240.6899999999996,6255.8400000000001,6240.2600000000002,6247.4399999999996,6319.4099999999999
2023-08-14,CSI300,000300.SH,3840.8899999999999,3839.79,3846.8699999999999,3833.1999999999998,3834.77,3855.9099999999999
2023-08-15,CSI1000,000852.SH,6318.5500000000002,6301.6199999999999,6303.9099999999999,6284.4799999999996,6264.54,6261.7299999999996
2023-08-15,CSI300,000300.SH,3858.3699999999999,3854.25,3862.21,3850.79,3845.0300000000002,3846.54
2023-08-16,CSI1000,000852.SH,6240.71,6242.6899999999996,6238.6899999999996,6228.25,6211.46,6186.3999999999996
2023-08-16,CSI300,000300.SH,3830.8299999999999,3837.1300000000001,3833.25,3828.3499999999999,3822.6399999999999,3818.3299999999999
2023-08-17,CSI1000,000852.SH,6167.6499999999996,6141.8900000000003,6165.2200000000003,6168.6499999999996,6200.8400000000001,6247.6000000000004
2023-08-17,CSI300,000300.SH,3801.1999999999998,3790.6500000000001,3802.73,3799.3800000000001,3806.9299999999998,3831.0999999999999
2023-08-18,CSI1000,000852.SH,6245.1300000000001,6236.9499999999998,6242.5900000000001,6235.8199999999997,6213.04,6117.1099999999997
2023-08-18,CSI300,000300.SH,3832.46,3833.2800000000002,3833.96,3836.3600000000001,3824.27,3784
2023-08-21,CSI1000,000852.SH,6107.9200000000001,6125.3500000000004,6117.6999999999998,6121.0299999999997,6143.2299999999996,6057.1700000000001
2023-08-21,CSI300,000300.SH,3773.23,3767.6199999999999,3752.98,3757.54,3774.6300000000001,3729.5599999999999
2023-08-22,CSI1000,000852.SH,6082.7200000000003,6090.4499999999998,6055.2200000000003,6058.7399999999998,6070.8100000000004,6099.1899999999996
2023-08-22,CSI300,000300.SH,3748.0700000000002,3749.75,3734.4299999999998,3732.4099999999999,3743.4200000000001,3758.23
2023-08-23,CSI1000,000852.SH,6084.1499999999996,6046.6099999999997,6020.0600000000004,6025.6000000000004,6035.0799999999999,5973.6700000000001
2023-08-23,CSI300,000300.SH,3751.77,3747.02,3735.6999999999998,3731.48,3734.54,3696.6300000000001
2023-08-24,CSI1000,000852.SH,5989.4300000000003,5984.46,5961.3599999999997,5971.1999999999998,5972.1800000000003,5987.9700000000003
2023-08-24,CSI300,000300.SH,3711.54,3710.6500000000001,3710.52,3708.29,3705.5599999999999,3723.4299999999998
2023-08-25,CSI1000,000852.SH,5960.5900000000001,5930.71,5954.96,5949.04,5951.8599999999997,5879.0299999999997
2023-08-25,CSI300,000300.SH,3703.5100000000002,3706.3899999999999,3707.96,3705.98,3713.7199999999998,3709.1500000000001
2023-08-28,CSI1000,000852.SH,6204.1000000000004,6099.9200000000001,6060.0799999999999,6072.0699999999997,6049.9799999999996,5922.1599999999999
2023-08-28,CSI300,000300.SH,3911.5500000000002,3835.6199999999999,3815.4099999999999,3812.0300000000002,3796.46,3752.6199999999999
2023-08-29,CSI1000,000852.SH,5909.46,5950.8199999999997,5984.7600000000002,5986.5200000000004,6020.4399999999996,6108.7600000000002
2023-08-29,CSI300,000300.SH,3743.0500000000002,3755.48,3759.6599999999999,3752.3499999999999,3764.8000000000002,3790.1100000000001
2023-08-30,CSI1000,000852.SH,6117.4099999999999,6142.3999999999996,6176.3199999999997,6178.04,6146.6199999999999,6139.6300000000001
2023-08-30,CSI300,000300.SH,3803.1199999999999,3794.96,3807.1199999999999,3807.6500000000001,3803.6599999999999,3788.5100000000002
2023-08-31,CSI1000,000852.SH,6130.6400000000003,6126.3299999999999,6100.0699999999997,6113.0200000000004,6117.04,6104.3000000000002
2023-08-31,CSI300,000300.SH,3786.9299999999998,3790.0799999999999,3779.54,3784.8099999999999,3782.7199999999998,3765.27
2023-09-01,CSI1000,000852.SH,6108.1300000000001,6113.21,6097.9499999999998,6114.3400000000001,6123.8299999999999,6107.1999999999998
2023-09-01,CSI300,000300.SH,3778.9099999999999,3796.1100000000001,3785.25,3797.1100000000001,3803.0900000000001,3791.4899999999998
2023-09-04,CSI1000,000852.SH,6129.54,6130.7200000000003,6112.8100000000004,6140.1000000000004,6171.4399999999996,6198.7600000000002
2023-09-04,CSI300,000300.SH,3812.9899999999998,3813.98,3807.9400000000001,3832.8299999999999,3853.4000000000001,3848.9499999999998
2023-09-05,CSI1000,000852.SH,6188.5200000000004,6193.3000000000002,6183.5600000000004,6186.3500000000004,6171.5600000000004,6167.6400000000003
